title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
Oku made Furetemo Ii desu ka,111285,Manga,5.0,1.0,Finished,"['Boys Love', 'Erotica']",7.35,,"['Yoshio, Akira']",Daria
Okubyoumono ni I Love You,96468,Manga,6.0,1.0,Finished,"['Boys Love', 'Slice of Life', 'Erotica']",7.3,,"['Sakura, Rico']",B's-LOVEY recottia
Oni to Tengoku,121940,Manga,12.0,2.0,Finished,"['Boys Love', 'Drama', 'Erotica']",7.54,,"['Aga, Naomi', 'Oyoshikawa, Kyouko']",Qpa
Our House Love Trouble,107956,Manga,7.0,1.0,Finished,"['Boys Love', 'Comedy', 'Erotica']",6.6,,['Owal'],Qpa
Shinobeba Koi,96991,Manga,10.0,2.0,Finished,"['Boys Love', 'Romance', 'Erotica']",7.56,,"['Yukue, Moegi']",GUSH
Toshishita Kareshi no Renai Kanriheki,68863,Manga,,,Publishing,"['Boys Love', 'Drama', 'Romance', 'Erotica']",7.01,,"['Sakurabi, Hashigo']",Qpa
Yakuza wo Shibatte Ii desu ka?,127653,Manga,5.0,1.0,Finished,"['Boys Love', 'Drama', 'Erotica']",7.28,,['Suji'],Charles Mag
Yamada Kiki Ippatsu,136624,One-shot,1.0,,Finished,"['Action', 'Romance', 'Supernatural', 'Ecchi']",,39340.0,"['Tatsu, Yukinobu']",Shounen Jump+
Zombie Hide Sex,122721,Manga,,,Publishing,"['Boys Love', 'Supernatural', 'Erotica']",7.02,,"['Yodogawa, Yuo']",kyapi!
Dekichatta Danshi,22365,Manga,,,Publishing,"['Boys Love', 'Erotica']",7.62,,"['Mikage, Tsubaki']",Magazine Be x Boy
Yawara!,853,Manga,331.0,29.0,Finished,"['Award Winning', 'Comedy', 'Romance', 'Sports']",7.46,2825.0,"['Urasawa, Naoki']",Big Comic Spirits
Youkoso! BL Kenkyuu Club e,125156,Manga,6.0,1.0,Finished,"['Boys Love', 'Erotica']",6.61,,['Haruta'],aQtto!
Haru no Mushoku,110211,Manga,,,Publishing,['Romance'],,29985.0,"['Inou, Mai']",Gessan
Mitsuboshi Colors,81467,Manga,72.0,8.0,Finished,"['Comedy', 'Slice of Life']",7.59,2025.0,['Katsuwo'],Dengeki Daioh
Mushi to Uta,36013,Manga,4.0,1.0,Finished,"['Award Winning', 'Drama']",7.13,6023.0,"['Ichikawa, Haruko']",Afternoon
Suiiki,16692,Manga,12.0,2.0,Finished,"['Drama', 'Fantasy']",7.72,1449.0,"['Urushibara, Yuki']",Afternoon
T-sensei,89232,Manga,43.0,7.0,Finished,['Slice of Life'],7.68,1610.0,"['Yukue, Moegi', 'T-sensei']",Comic Flapper
Koisuru Shirokuma,103028,Manga,,,Publishing,"['Boys Love', 'Comedy']",7.31,4062.0,['Koromo'],Comic Gene
Bigger Hunter,55969,One-shot,1.0,,Finished,"['Action', 'Adventure', 'Sci-Fi']",6.38,13906.0,"['Yoo, Jetae']",Young Gangan
